model,year,odometer,price,DAS,accident_history,paintJob,wheels,emi,zipCode,interior,driveType,state
Model S,2018,36438.0,53300,Autopilot,Previously Repaired,Red Multi-Coat Paint,"19"" Silver Slipstream Wheels",824.0,85209,Cream Premium Interior,All-Wheel Drive,CA
Model S,2018,30180.0,59200,Previously Repaired,30-Day Premium Connectivity Trial,Midnight Silver Metallic Paint,"21"" Sonic Carbon Twin Turbine Wheels",930.0,85209,Black Premium Interior,All-Wheel Drive,CA
Model S,2018,95696.0,36100,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",514.0,85209,Black Premium Interior,All-Wheel Drive,AZ
Model S,2018,36438.0,53300,Autopilot,Previously Repaired,Red Multi-Coat Paint,"19"" Silver Slipstream Wheels",824.0,85251,Cream Premium Interior,All-Wheel Drive,CA
Model S,2018,30180.0,59200,Previously Repaired,30-Day Premium Connectivity Trial,Midnight Silver Metallic Paint,"21"" Sonic Carbon Twin Turbine Wheels",930.0,85251,Black Premium Interior,All-Wheel Drive,CA
Model S,2018,95696.0,36100,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",514.0,85251,Black Premium Interior,All-Wheel Drive,AZ
Model S,2018,95696.0,36100,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",514.0,85254,Black Premium Interior,All-Wheel Drive,AZ
Model S,2018,95696.0,36100,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",514.0,85260,Black Premium Interior,All-Wheel Drive,AZ
Model S,2018,95696.0,36100,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",514.0,85281,Black Premium Interior,All-Wheel Drive,AZ
Model S,2018,95696.0,36100,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",514.0,85305,Black Premium Interior,All-Wheel Drive,AZ
Model S,2018,95696.0,36100,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",514.0,85704,Black Premium Interior,All-Wheel Drive,AZ
Model S,2018,36438.0,53300,Autopilot,Previously Repaired,Red Multi-Coat Paint,"19"" Silver Slipstream Wheels",824.0,91801,Cream Premium Interior,All-Wheel Drive,CA
Model S,2018,30180.0,59200,Previously Repaired,30-Day Premium Connectivity Trial,Midnight Silver Metallic Paint,"21"" Sonic Carbon Twin Turbine Wheels",930.0,91801,Black Premium Interior,All-Wheel Drive,CA
Model S,2018,62440.0,34900,Enhanced Autopilot,No Reported Accidents/Damage,Obsidian Black Metallic Paint,"19"" Silver Slipstream Wheels",493.0,93311,Cream Premium Interior,All-Wheel Drive,IL
Model S,2018,78029.0,35800,Autopilot,Previously Repaired,Pearl White Multi-Coat Paint,"19"" Silver Slipstream Wheels",509.0,93311,Cream Premium Interior,All-Wheel Drive,IL
Model S,2018,95696.0,36100,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",514.0,93311,Black Premium Interior,All-Wheel Drive,AZ
Model S,2018,56287.0,36800,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",527.0,93311,Cream Premium Interior,All-Wheel Drive,FL
Model S,2018,65548.0,37500,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Silver Slipstream Wheels",540.0,93311,Cream Premium Interior,All-Wheel Drive,FL
